State_Name,Place,Zip_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Samples,Population,City,County
Maryland,Little Orleans,20658,16064352,10870381,38.5657919,-77.201418,1786,1863,526,190,854,Marbury,Charles
Maryland,Little Orleans,20657,40211348,14669345,38.3707631,-76.4614087,1748,1794,545,747,20483,Lusby,Calvert
Maryland,Leonardtown,20650,9885521,177039,38.303891,-76.63965300000001,893,700,655,533,13717,Leonardtown,Saint Marys
Maryland,Little Orleans,20646,17069763,22848,38.5327464,-77.00004229999999,1688,1492,419,21,18890,La Plata,Charles
Maryland,Potomac Heights,20640,2779496,639906,38.59817,-77.13238,937,937,69,51,10438,Indian Head,Charles
Maryland,Huntingtown,20639,20904500,64772,38.61235,-76.62154,1585,2149,508,105,14227,Huntingtown,Calvert
Maryland,Little Orleans,20634,31988456,527971,38.2681465,-76.5209297,1673,1669,381,647,5927,Great Mills,Saint Marys
Maryland,Rock Point,20621,1629059,0,38.275487,-76.842759,947,252,791,16,1373,Chaptico,Saint Marys
Maryland,Little Orleans,20613,106864292,4518378,38.7107798,-76.7300147,624,621,269,45,11860,Brandywine,Prince Georges
Maryland,Little Orleans,20607,28253212,3439816,38.674113399999996,-77.03602740000001,1402,1253,356,103,9802,Accokeek,Prince Georges
Maryland,Little Orleans,20603,12976273,126596,38.5997076,-76.949802,1713,1780,420,1331,28967,Waldorf,Charles
Maryland,Waldorf,20602,93879004,626429,38.609186,-76.91977800000001,1513,1561,637,7701,24955,Waldorf,Charles
Maryland,Little Orleans,20601,5301128,1042,38.644537,-76.9006667,1541,1601,438,515,24156,Waldorf,Charles
Virginia,Chincoteague,20197,140428784,914953,39.1825434,-77.5692964,0,0,0,0,1840,Waterford,Loudoun
Virginia,Chincoteague,20191,3798164,31322,38.9453019,-77.3709609,1699,1672,463,274,29128,Reston,Fairfax
Virginia,Chincoteague,20190,1905857,56976,38.972905,-77.345466,1907,1869,526,593,17529,Reston,Fairfax
Virginia,New Baltimore,20187,31132431,631996,38.741858,-77.717035,1436,1361,605,241,15252,Warrenton,Fauquier
Virginia,Warrenton,20186,11651183,14799,38.717817,-77.79731600000001,1190,1157,436,1438,14557,Warrenton,Fauquier
Virginia,Nokesville,20181,24889321,149527,38.692987,-77.576441,1518,1670,407,38,7877,Nokesville,Prince William
Virginia,Chincoteague,20180,101169599,635475,39.2840153,-77.69395159999999,1754,2144,473,89,6549,Lovettsville,Loudoun
Virginia,Lansdowne,20176,10310267,242948,39.085271,-77.48374,1861,1758,685,1236,46506,Leesburg,Loudoun
Virginia,Chincoteague,20175,8876960,48623,39.0965705,-77.5952939,0,0,0,0,27169,Leesburg,Loudoun
Virginia,Chincoteague,20171,336775,0,38.944244399999995,-77.4102485,1470,1459,260,190,45887,Herndon,Fairfax
Virginia,Chincoteague,20170,2590928,5857,38.9698035,-77.3721513,1871,1756,479,579,41236,Herndon,Fairfax
Virginia,Cascades,20165,9549566,161431,39.047538,-77.386847,2145,1996,867,920,32383,Sterling,Loudoun
Virginia,Oak Grove,20164,3027185,8213,38.983354,-77.41549,1695,1751,493,72,37747,Sterling,Loudoun
Virginia,Chincoteague,20158,79502892,825945,39.0966955,-77.6503433,1783,1280,1195,123,4288,Hamilton,Loudoun
Virginia,Gainesville,20155,26225684,1467772,38.793191,-77.64224300000001,1943,1863,695,828,29411,Gainesville,Prince William
Virginia,South Riding,20152,17703266,193723,38.911658,-77.51328199999999,2081,2076,775,1128,24946,Chantilly,Loudoun
Virginia,Chantilly,20151,31078917,335906,38.890603999999996,-77.440876,1630,1610,604,1399,21374,Chantilly,Fairfax
Virginia,Chincoteague,20148,11615196,201515,38.979789000000004,-77.5382198,1806,1846,385,375,28310,Ashburn,Loudoun
Virginia,Chincoteague,20147,6202741,88406,39.032628700000004,-77.4432583,1313,1361,311,312,54086,Ashburn,Loudoun
Virginia,Shenandoah Retreat,20141,3900699,201866,39.139346,-77.862643,695,441,356,12,6131,Round Hill,Loudoun
Virginia,Chincoteague,20136,1960816,40012,38.7624342,-77.59173309999998,1917,1994,611,112,28498,Bristow,Prince William
Virginia,Chincoteague,20132,11820514,38369,39.1318665,-77.6972895,1307,1229,557,319,15900,Purcellville,Loudoun
Virginia,Chincoteague,20124,1718272,12251,38.8220549,-77.4259416,2740,2700,515,94,14857,Clifton,Fairfax
Virginia,Chincoteague,20121,15149178,1015088,38.8153572,-77.46895359999999,1301,1382,418,440,27988,Centreville,Fairfax
Virginia,Chincoteague,20120,1880545,24395,38.839953,-77.46055849999999,1413,1621,474,60,40695,Centreville,Fairfax
